Date,sma_3,sma_5,sma_7,sma_10,sma_15,sma_20,sma_25,sma_30,ema_3,ema_5,ema_7,ema_10,ema_15,ema_20,ema_25,ema_30,atr_3,atr_5,atr_7,atr_10,atr_15,atr_20,atr_25,atr_30,rsi_3,rsi_5,rsi_7,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,adx_3,adx_5,adx_7,adx_10,adx_15,adx_20,adx_25,adx_30,stoch_k_3,stoch_k_5,stoch_k_7,stoch_k_10,stoch_k_15,stoch_k_20,stoch_k_25,stoch_k_30,stoch_d_3,stoch_d_5,stoch_d_7,stoch_d_10,stoch_d_15,stoch_d_20,stoch_d_25,stoch_d_30
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,6590.036666666667,,,,,,,,6590.036666666667,,,,,,,,65.53631578947318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,6564.676666666666,,,,,,,,6572.698333333334,,,,,,,,71.23692307692288,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,6577.549999999999,6588.67,,,,,,,6595.289166666667,6588.67,,,,,,,74.76218009478663,73.32440742503552,,,,,,,69.8524360873632,,,,,,,,,,,,,,,,49.662949140089815,,,,,,,,,,,,,,,
2010-01-11,6588.5,6580.834,,,,,,,6593.774583333334,6589.866666666668,,,,,,,74.5530977443607,73.55903113886697,,,,,,,48.86934418778373,45.56679938276394,,,,,,,45.21413779400471,,,,,,,,63.827257833129494,,,,,,,,,,,,,,,
2010-01-12,6584.013333333333,6573.361999999999,6582.501428571429,,,,,,6567.837291666667,6573.877777777779,6582.501428571429,,,,,,80.5461583292861,78.09435026967488,77.06348420826066,,,,,,25.915781845872303,28.958835376802565,,,,,,,40.158075947471524,,,,,,,,53.507982445995715,,,,,,,,55.666063139738334,,,,,,,
2010-01-13,6562.903333333333,6572.389999999999,6571.517142857142,,,,,,6561.193645833333,6567.435185185186,6575.513571428572,,,,,,75.22654242664557,74.99799860961149,74.67390969809195,,,,,,37.05535254742672,36.25400797350385,35.613213058815255,,,,,,39.75082403710767,,,,,,,,34.22349747404488,,,,,,,,50.519579251056705,,,,,,,
2010-01-14,6574.623333333334,6586.801999999999,6578.397142857143,,,,,,6594.3068229166665,6587.430123456792,6588.490178571428,,,,,,80.95675082155351,78.91861512932437,77.96723813562538,,,,,,72.62381822188514,63.35224837427572,59.3005049238121,,,,,,36.997733450708,,,,,,,,44.04755283935029,56.32102341303679,,,,,,,43.9263442531303,,,,,,,
2010-01-15,6585.996666666666,6578.43,6580.7699999999995,6583.55,,,,,6585.163411458334,6583.626748971195,6585.372633928571,6583.55,,,,,88.20011150366243,84.15964320838405,82.39191426392748,81.08558324768273,,,,,45.45018967810713,46.08068946795867,45.51958787709644,,,,,,39.09999524545758,25.590961678877246,,,,,,,53.06363321416069,47.457943250220694,,,,,,,43.77822784251862,,,,,,,
2010-01-18,6602.406666666667,6580.7339999999995,6587.687142857142,6580.784,,,,,6594.471705729167,6590.344499314131,6589.974475446428,6587.228181818182,,,,,74.76137550756995,76.32469788840169,76.43600135283852,76.31494950411987,,,,,58.13910877106201,54.46196548352309,52.478103739889676,50.80697154459025,,,,,40.430371861008865,25.820329148817535,,,,,,,56.81342104350336,48.35763589555894,,,,,,,51.308202365671455,50.712200852938814,,,,,,
2010-01-19,6604.553333333333,6599.126000000001,6589.97,6586.244000000001,,,,,6614.165852864584,6604.84966620942,6600.945856584822,6595.706694214876,,,,,90.04874203794492,85.76230578716391,83.86659003026534,82.4404873753866,,,,,69.62370660021686,62.38204254288199,59.08456077417553,56.52012676865775,,,,,40.520334705195864,25.102011444942917,,,,,,,54.40334049930027,58.9701378637529,,,,,,,54.76013158565477,51.59523900317752,,,,,,
2010-01-20,6608.056666666666,6605.522,6589.151428571428,6588.956,,,,,6600.347926432292,6598.743110806281,6597.341892438616,6594.038204357626,,,,,87.32181645147851,84.94702404178311,83.54352825699532,82.36935867708539,,,,,42.25954794129019,46.48171817871844,47.07183762870012,46.980958674155374,,,,,31.714533225984166,21.262304804800277,,,,,,,56.171315370723285,61.317105245017196,53.83900238504458,,,,,,55.79602563784231,56.214959668109685,,,,,,
2010-01-21,6599.78,6595.8279999999995,6594.444285714286,6591.315,,,,,6589.6489632161465,6592.145407204187,6592.743919328962,6591.294894474421,,,,,88.19085451324172,85.98737432265777,84.5734538412502,83.34839489241723,,,,,38.613763003192346,44.22510074749782,45.34911345147737,45.61112343095935,,,,,21.472873337199015,16.899268942972643,13.726643536347016,,,,,,56.21492733728086,54.40341058696244,56.33978358173903,,,,,,55.59652773576814,58.23021789857751,,,,,,
2010-01-22,6553.1466666666665,6579.416,6585.788571428572,6578.923,6582.1720000000005,,,,6541.804481608073,6559.416938136124,6568.0479394967215,6573.597640933617,6582.1720000000005,,,,102.06892912188114,95.0549359192801,91.73349956399774,89.18910603192694,87.22474461087172,,,,15.754532594674735,26.31770536856725,30.66739489479079,33.45769941077833,,,,,38.4941025046022,25.275626540550974,20.102052471817448,,,,,,36.75701234519415,49.931923076543725,54.31837057512111,,,,,,49.714418351066094,55.21747963617445,54.832385513968234,,,,,
2010-01-25,6508.07,6548.92,6560.628571428571,6564.827,6570.162666666667,,,,6496.552240804036,6523.377958757417,6538.860954622541,6551.361706218414,6565.813000000001,,,,90.48164515008119,89.35552456767836,87.92857483824183,86.50969519037105,85.24348064993706,,,,10.897348228630191,20.986096398783506,25.779873355827622,29.128943248884827,31.41696646675082,,,,50.335815290361396,32.00693902085746,25.220009368664677,,,,,,21.9233006281343,38.54714252727156,43.90109601993162,,,,,,38.29841343686977,47.62749206359258,51.51975005893058,,,,,
2010-01-26,6476.496666666666,6518.994000000001,6547.515714285714,6559.0599999999995,6563.827333333334,,,,6490.391120402018,6510.328639171612,6525.203215966905,6539.155941451429,6555.615125,,,,93.05370730493688,91.16312315578169,89.50952586329042,87.91150864890378,86.49340058233464,,,,34.337428348005254,33.905848819723104,35.095353733553935,36.20779814843623,37.04470324648458,,,,61.68519872576046,39.612166643688354,31.120093256847277,,,,,,27.54778266006876,29.46525489965679,42.15307124633936,,,,,,28.742698544465735,39.314773501157354,46.7908459471307,,,,,
