,ShanghaiSE_china,ftse mib_italy,aex_netherlands,atx_austria,asx200_australia,bfx_belgium,bsesn_india,bux_hungary,djia_united states,cac40_france,ftse100_united kingdom,dax30_germany,s&p500_united states,S&P/TSX_canada,hang seng_hong kong,ibex 35_spain,iseq_ireland,kospi_south korea,nikkei225_japan,omx_sweden,^SSMI_switzerland,russia-moex,poland-wig20,denmark-omxc20,finland-omx helsinki 25,CHFAUD=X,CHFCAD=X,CHFCNY=X,CHFCZK=X,CHFDKK=X,CHFEUR=X,CHFHKD=X,CHFHUF=X,CHFINR=X,CHFKRW=X,CHFNOK=X,CHFPLN=X,CHFSEK=X,CHFUSD=X,JPYCHF=X,NOKCHF=X
2010-01-11,3212.75,23775.0,340.5199890136719,2660.389892578125,4950.7001953125,2585.860107421875,17526.7109375,22962.51953125,10663.990234375,4043.090087890625,5538.10009765625,6040.5,1146.97998046875,11947.099609375,22411.51953125,12074.5,3099.679931640625,1694.1199951171875,,978.1799926757812,6592.259765625,1444.78,2473.5,359.54,2090.74,1.0573999881744385,1.0166000127792358,6.714700222015381,17.72599983215332,5.043300151824951,0.6777700185775757,7.627999782562256,180.80999755859375,44.641998291015625,1102.9000244140625,5.513700008392334,2.7528998851776123,6.9182000160217285,0.9835742712020874,1.1029000282287598,17.094999313354492
2010-01-12,3273.966064453125,23583.0,336.7699890136719,2630.919921875,4899.5,2565.050048828125,17422.509765625,22659.619140625,10627.259765625,4000.050048828125,5498.7001953125,5943.0,1136.219970703125,11820.2001953125,22326.640625,11966.099609375,3053.969970703125,1698.6400146484375,10879.1396484375,969.5499877929688,6541.89990234375,1427.67,2448.71,356.73,2050.24,1.065600037574768,1.019700050354004,6.710100173950195,17.756000518798828,5.044300079345703,0.6778299808502197,7.610099792480469,181.08999633789062,44.86199951171875,1102.5999755859375,5.55679988861084,2.759700059890747,6.927199840545654,0.9815468788146973,1.117799997329712,17.937000274658203
2010-01-13,3172.657958984375,23658.0,338.17999267578125,2651.840087890625,4868.10009765625,2575.110107421875,17509.80078125,22735.330078125,10680.76953125,4000.860107421875,5473.5,5963.14013671875,1145.6800537109375,11853.599609375,21748.599609375,11958.2998046875,3087.85009765625,1671.4100341796875,10735.0302734375,974.9600219726562,6554.5498046875,1435.01,2458.05,356.53,2061.91,1.0628000497817993,1.0127999782562256,6.682000160217285,17.670000076293945,5.021599769592285,0.676639974117279,7.620100021362305,180.39999389648438,44.551998138427734,1100.0999755859375,5.5345001220703125,2.740299940109253,6.894700050354004,0.9827043414115906,1.111899971961975,18.016000747680664
2010-01-14,3215.550048828125,23806.0,340.6099853515625,2702.489990234375,4898.0,2571.3701171875,17584.869140625,22981.48046875,10710.5498046875,4015.77001953125,5498.2001953125,5988.8798828125,1148.4599609375,11804.400390625,21716.94921875,11999.7998046875,3110.85009765625,1685.77001953125,10907.6796875,981.5,6627.419921875,1455.65,2451.98,361.79,2077.44,1.0535999536514282,1.0045000314712524,6.676400184631348,17.569000244140625,5.035200119018555,0.676859974861145,7.613999843597412,180.32000732421875,44.60200119018555,1099.9000244140625,5.519700050354004,2.738800048828125,6.875,0.9817396402359009,1.1152000427246094,18.05699920654297
2010-01-15,3224.152099609375,23472.0,337.989990234375,2688.4599609375,4899.60009765625,2536.449951171875,17554.30078125,22510.19921875,10609.650390625,3954.3798828125,5455.39990234375,5875.97021484375,1136.030029296875,11685.400390625,21654.16015625,11845.0,3098.0400390625,1701.800048828125,10982.099609375,970.6500244140625,6576.02001953125,1452.67,2442.38,359.27,2057.95,1.0570000410079956,1.0032999515533447,6.639900207519531,17.40399932861328,5.031400203704834,0.6776400208473206,7.568299770355225,180.07000732421875,44.5890007019043,1094.0,5.52869987487793,2.7455999851226807,6.878200054168701,0.9757049679756165,1.1288000345230103,18.024999618530273
2010-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,3237.097900390625,23510.0,339.0299987792969,2703.820068359375,4911.10009765625,2552.7099609375,17641.080078125,,,3977.4599609375,5494.39990234375,5918.5498046875,,11750.5,21460.009765625,11870.7001953125,3108.169921875,1711.780029296875,10855.080078125,974.0499877929688,6603.77978515625,1479.53,2465.3,359.95,2079.24,1.0527000427246094,1.0008000135421753,6.645199775695801,17.52899932861328,5.046000003814697,0.6779699921607971,7.583000183105469,180.9600067138672,44.48699951171875,1096.199951171875,5.509300231933594,2.7207000255584717,6.837699890136719,0.9769441485404968,1.1279000043869019,18.104000091552734
2010-01-19,3246.8740234375,23706.0,341.6099853515625,2699.110107421875,4861.2001953125,2547.360107421875,17486.060546875,22784.470703125,10725.4296875,4009.669921875,5513.10009765625,5976.47998046875,1150.22998046875,11763.400390625,21677.98046875,12022.599609375,3101.580078125,1710.219970703125,10764.900390625,976.0,6633.85986328125,1484.03,2489.42,360.47,2087.33,1.0489000082015991,0.9986000061035156,6.591300010681152,17.461999893188477,5.045400142669678,0.677869975566864,7.514500141143799,180.97000122070312,44.29399871826172,1092.0999755859375,5.50629997253418,2.712899923324585,6.832799911499023,0.9684291481971741,1.131700038909912,18.12299919128418
2010-01-20,3151.85009765625,23126.0,336.29998779296875,2647.81005859375,4868.2001953125,2516.679931640625,17474.490234375,22541.060546875,10603.150390625,3928.949951171875,5420.7998046875,5851.52978515625,1138.0400390625,11679.2998046875,21286.169921875,11709.0,3087.530029296875,1714.3800048828125,10737.51953125,957.530029296875,6586.52978515625,1461.23,2489.45,356.31,2059.64,1.0507999658584595,1.0012999773025513,6.5192999839782715,17.631999969482422,5.0528998374938965,0.6788399815559387,7.441400051116943,183.8300018310547,44.082000732421875,1084.5999755859375,5.532800197601318,2.7488999366760254,6.900100231170654,0.9582215547561646,1.1434999704360962,18.035999298095703
